appid,name,total_reviews,positive_reviews_percent,developer,publisher,metacritic_score,is_free,genre1,genre2,genre3,price,peak
353110,Dreamscapes: Nightmare's Heir - Premium Edition,163,0.699386503,Shaman Games Studio,HH-Games,50,0,25,4,23,2595,12
353190,Bombshell,392,0.584183673,Slipgate Ironworks™,3D Realms,43,0,1,25,-1,13195,90
352520,The Silent Age,6791,0.933441319,House On Fire,Meridian4,50,0,25,4,23,3695,452
352550,Urban Empire,2427,0.339101772,Reborn Games,Kalypso Media Digital,62,0,28,2,-1,11095,5839
352580,Hidden: On the trail of the Ancients,82,0.658536585,Lost Spell,Lost Spell,50,0,25,23,-1,3695,20
352610,The Way We ALL GO,135,0.859259259,ebi-hime,ebi-hime,50,0,23,-1,-1,2195,13
352620,Porcunipine,161,0.776397516,Big Green Pillow,Curve Games,50,0,1,23,-1,369,281
352640,The Indie Mixtape,70,0.714285714,Daniel Linssen,CDP,50,0,1,25,23,369,25
352700,Subspace Continuum,560,0.882142857,Virgin Interactive Entertainment,Subspace Continuum,50,1,1,4,37,0,202
352720,The Universim,7541,0.824426469,Crytivo,Crytivo,50,0,23,28,2,11095,2819
352780,An Octave Higher,286,0.825174825,Kidalang,PLAYISM,50,0,25,23,-1,4395,34
352840,One Way Heroics Plus,158,0.981012658,Smoking WOLF,PLAYISM,50,0,23,3,-1,2395,0
352890,Caravan,896,0.78125,it Matters Games,Daedalic Entertainment,50,0,25,23,28,169,587
352240,The Westport Independent,233,0.708154506,Double Zero One Zero,Double Zero One Zero,63,1,23,28,-1,0,-1
352360,Reflections,78,0.525641026,Broken Window Studios,Broken Window Studios,50,0,25,23,70,3695,17
352370,Defect,56,0.714285714,Three Phase Interactive Pty Ltd,Three Phase Interactive Pty Ltd,50,0,1,23,2,2195,28
352400,LEGO® Jurassic World,7186,0.913721124,TT Games Ltd,Warner Bros. Interactive Entertainment,72,0,1,25,-1,1737,3468
352430,Farlight Explorers,202,0.569306931,Farlight Games Industry,Farlight Games Industry,50,0,23,28,2,3695,35
351870,Cultures - 8th Wonder of the World,415,0.83373494,Funatics Software,Daedalic Entertainment,50,0,2,-1,-1,185,45
351890,PAYDAY 2: The Butcher's AK/CAR Mod Pack,838,0.501193317,OVERKILL - a Starbreeze Studio.,505 Games,50,0,1,3,-1,725,0
351910,Valhalla Hills,1235,0.548178138,Funatics Software,Daedalic Entertainment,69,0,23,28,2,259,544
351920,Crazy Machines 3,9324,0.946696697,Fakt Software,Daedalic Entertainment,71,0,28,2,-1,3695,1101
351940,The Descendant,6102,0.879219928,Gaming Corps AB,Microids Indie,59,1,25,4,23,0,35037
351970,Tales of Zestiria,8493,0.815259626,BANDAI NAMCO Studio Inc.,BANDAI NAMCO Entertainment,77,0,3,-1,-1,17700,9690
352010,Beach Bounce,347,0.671469741,Dharker Studio,Dharker Studios Ltd,50,0,25,4,23,3695,193
352070,Fort Meow,249,0.939759036,Upper Class Walrus,Upper Class Walrus,50,0,25,23,2,2950,99
352120,Fair Strike,78,0.769230769,G5 Software,ESDigital Games,56,0,1,28,-1,1450,818
352130,Locoland,138,0.789855072,Gromada,ESDigital Games,50,0,23,2,-1,1850,510
352140,Finders,159,0.779874214,Alawar Entertainment,ESDigital Games,50,0,4,28,2,2195,440
352150,DOA5LR Pre-purchase Reward Set,55,0.581818182,Team NINJA,"KOEI TECMO GAMES CO., LTD.",50,0,1,-1,-1,9295,0
352160,Curse of Mermos,265,0.569811321,TEAM101,TEAM101,50,1,1,37,23,0,164
352170,MadOut,57,0.385964912,Nuligine,Nuligine,50,0,1,23,9,3695,5
352190,Spirit Of War,76,0.592105263,G-OLD,Plug In Digital,50,0,2,-1,-1,0,-1
352220,King of Dragon Pass,448,0.814732143,A Sharp,HeroCraft PC,50,0,25,3,2,4399,1531
351570,Killing Floor: Uncovered,2175,0.88137931,Tripwire Interactive,Tripwire Interactive,50,1,-1,-1,-1,0,26
351630,Fire With Fire: Online Tower Attack and Defense,230,0.469565217,Theory Georgiou,Theory Georgiou,50,0,4,37,23,0,56
351640,Eternal Senia,11786,0.975564229,Sanctum Games,Sanctum Games,50,1,1,37,23,0,606
351700,UnReal World,1133,0.947043248,Sami Maaranen (creator),Enormous Elk,50,0,23,3,28,4095,243
351710,Hyperdimension Neptunia Re;Birth2 Sisters Generation,3132,0.923052363,Idea Factory,Idea Factory,50,0,3,2,-1,5595,1283
351720,Solar Division,51,0.68627451,ZeroBit Games,Ocean Media LLC,50,0,4,23,28,5595,1061
351730,On My Own,148,0.614864865,Beach Interactive,Beach Interactive,50,0,25,4,23,2950,24
351740,Never Alone: Original Soundtrack,50,0.8,Upper One Games,,50,0,1,25,23,2595,-1
351790,Invisible Apartment,400,0.7025,Milan Kazarka,Vysoko Anime Production,50,1,25,37,23,0,-1
351800,Dev Guy,1750,0.793714286,Daniel Jonathan Bourke,Project Tranquil,50,1,25,37,23,0,274
351820,Z.A.R.,72,0.680555556,Maddox Games,Nightdive Studios,50,0,1,-1,-1,2195,5
